ds,Nuclear_indisponibility
493,2013-05-08,915.0
494,2013-05-09,0.0
495,2013-05-10,2630.0
496,2013-05-11,490.0
497,2013-05-12,0.0
498,2013-05-13,0.0
499,2013-05-14,0.0
500,2013-05-15,0.0
501,2013-05-16,0.0
502,2013-05-17,1735.0
503,2013-05-18,1735.0
504,2013-05-19,1800.0
505,2013-05-20,910.0
506,2013-05-21,0.0
507,2013-05-22,0.0
508,2013-05-23,0.0
509,2013-05-24,0.0
510,2013-05-25,905.0
511,2013-05-26,905.0
512,2013-05-27,910.0
513,2013-05-28,0.0
514,2013-05-29,835.0
515,2013-05-30,0.0
516,2013-05-31,0.0
517,2013-06-01,2225.0
518,2013-06-02,1835.0
519,2013-06-03,915.0
520,2013-06-04,0.0
521,2013-06-05,0.0
522,2013-06-06,0.0
523,2013-06-07,1300.0
524,2013-06-08,1300.0
525,2013-06-09,2190.0
526,2013-06-10,1300.0
527,2013-06-11,2740.0
528,2013-06-12,2740.0
529,2013-06-13,2740.0
530,2013-06-14,3930.0
531,2013-06-15,2600.0
532,2013-06-16,3930.0
533,2013-06-17,2600.0
534,2013-06-18,2600.0
535,2013-06-19,4825.0
536,2013-06-20,4825.0
537,2013-06-21,2600.0
538,2013-06-22,3510.0
539,2013-06-23,5210.0
540,2013-06-24,4560.0
541,2013-06-25,2600.0
542,2013-06-26,3750.0
543,2013-06-27,3200.0
544,2013-06-28,3200.0
545,2013-06-29,3505.0
546,2013-06-30,3505.0
547,2013-07-01,2600.0
548,2013-07-02,3480.0
549,2013-07-03,3480.0
550,2013-07-04,2600.0
551,2013-07-05,2600.0
552,2013-07-06,3425.0
553,2013-07-07,2600.0
554,2013-07-08,1300.0
555,2013-07-09,3525.0
556,2013-07-10,1300.0
557,2013-07-11,1300.0
558,2013-07-12,2237.0
559,2013-07-13,4913.0
560,2013-07-14,3610.0
561,2013-07-15,2375.0
562,2013-07-16,1300.0
563,2013-07-17,1300.0
564,2013-07-18,2630.0
565,2013-07-19,1677.0
566,2013-07-20,1300.0
567,2013-07-21,1300.0
568,2013-07-22,1300.0
569,2013-07-23,1300.0
570,2013-07-24,1300.0
571,2013-07-25,1300.0
572,2013-07-26,1300.0
573,2013-07-27,1300.0
574,2013-07-28,2210.0
575,2013-07-29,2210.0
576,2013-07-30,2610.0
577,2013-07-31,2180.0
578,2013-08-01,1300.0
579,2013-08-02,1300.0
580,2013-08-03,3400.0
581,2013-08-04,2630.0
582,2013-08-05,1300.0
583,2013-08-06,1300.0
584,2013-08-07,0.0
585,2013-08-08,1010.0
586,2013-08-09,690.0
587,2013-08-10,1380.0
588,2013-08-11,1495.0
589,2013-08-12,0.0
590,2013-08-13,0.0
591,2013-08-14,0.0
592,2013-08-15,1300.0
593,2013-08-16,1300.0
594,2013-08-17,1180.0
595,2013-08-18,0.0
596,2013-08-19,0.0
597,2013-08-20,890.0
598,2013-08-21,0.0
599,2013-08-22,1300.0
600,2013-08-23,1300.0
601,2013-08-24,2215.0
602,2013-08-25,2215.0
603,2013-08-26,1300.0
604,2013-08-27,1300.0
605,2013-08-28,1455.0
606,2013-08-29,1300.0
607,2013-08-30,730.0
608,2013-08-31,730.0
609,2013-09-01,730.0
610,2013-09-02,0.0
611,2013-09-03,1310.0
612,2013-09-04,615.0
613,2013-09-05,615.0
614,2013-09-06,615.0
615,2013-09-07,0.0
616,2013-09-08,0.0
617,2013-09-09,880.0
618,2013-09-10,880.0
619,2013-09-11,880.0
620,2013-09-12,0.0
621,2013-09-13,0.0
622,2013-09-14,1300.0
623,2013-09-15,915.0
624,2013-09-16,0.0
625,2013-09-17,321.0
626,2013-09-18,1330.0
627,2013-09-19,880.0
628,2013-09-20,880.0
629,2013-09-21,2180.0
630,2013-09-22,3480.0
631,2013-09-23,880.0
632,2013-09-24,0.0
633,2013-09-25,2180.0
634,2013-09-26,1300.0
635,2013-09-27,1945.0
636,2013-09-28,3760.0
637,2013-09-29,2400.0
638,2013-09-30,465.0
639,2013-10-01,0.0
640,2013-10-02,0.0
641,2013-10-03,3090.0
642,2013-10-04,1795.0
643,2013-10-05,1795.0
644,2013-10-06,0.0
645,2013-10-07,0.0
646,2013-10-08,0.0
647,2013-10-09,910.0
648,2013-10-10,910.0
649,2013-10-11,0.0
650,2013-10-12,1880.0
651,2013-10-13,0.0
652,2013-10-14,0.0
653,2013-10-15,1300.0
654,2013-10-16,1300.0
655,2013-10-17,0.0
656,2013-10-18,705.0
657,2013-10-19,2200.0
658,2013-10-20,2200.0
659,2013-10-21,0.0
660,2013-10-22,0.0
661,2013-10-23,0.0
662,2013-10-24,0.0
663,2013-10-25,0.0
664,2013-10-26,0.0
665,2013-10-27,0.0
666,2013-10-28,0.0
667,2013-10-29,0.0
668,2013-10-30,1043.0
669,2013-10-31,890.0
670,2013-11-01,0.0
671,2013-11-02,880.0
672,2013-11-03,1310.0
673,2013-11-04,0.0
674,2013-11-05,0.0
675,2013-11-06,0.0
676,2013-11-07,1310.0
677,2013-11-08,2190.0
678,2013-11-09,2215.0
679,2013-11-10,2215.0
680,2013-11-11,3130.0
681,2013-11-12,1310.0
682,2013-11-13,1310.0
683,2013-11-14,1310.0
684,2013-11-15,1310.0
685,2013-11-16,1310.0
686,2013-11-17,1310.0
687,2013-11-18,1310.0
688,2013-11-19,1310.0
689,2013-11-20,0.0
690,2013-11-21,0.0
691,2013-11-22,915.0
692,2013-11-23,1830.0
693,2013-11-24,2250.0
694,2013-11-25,915.0
695,2013-11-26,1272.0
696,2013-11-27,1272.0
697,2013-11-28,1265.0
698,2013-11-29,1685.0
699,2013-11-30,0.0
700,2013-12-01,1335.0
701,2013-12-02,2215.0
702,2013-12-03,880.0
703,2013-12-04,1785.0
704,2013-12-05,910.0
705,2013-12-06,1500.0
706,2013-12-07,1676.0
707,2013-12-08,0.0
708,2013-12-09,0.0
709,2013-12-10,0.0
710,2013-12-11,1330.0
711,2013-12-12,1110.0
712,2013-12-13,0.0
713,2013-12-14,0.0
714,2013-12-15,0.0
715,2013-12-16,0.0
716,2013-12-17,0.0
717,2013-12-18,0.0
718,2013-12-19,0.0
719,2013-12-20,0.0
720,2013-12-21,0.0
721,2013-12-22,905.0
722,2013-12-23,0.0
723,2013-12-24,0.0
724,2013-12-25,692.0
725,2013-12-26,0.0
726,2013-12-27,0.0
727,2013-12-28,0.0
728,2013-12-29,0.0
729,2013-12-30,0.0
730,2013-12-31,0.0
731,2014-01-01,0.0
732,2014-01-02,0.0
733,2014-01-03,890.0
734,2014-01-04,890.0
735,2014-01-05,890.0
736,2014-01-06,890.0
737,2014-01-07,890.0
738,2014-01-08,890.0
739,2014-01-09,890.0
740,2014-01-10,890.0
741,2014-01-11,890.0
742,2014-01-12,890.0
743,2014-01-13,1070.0
744,2014-01-14,0.0
745,2014-01-15,0.0
746,2014-01-16,0.0
747,2014-01-17,0.0
748,2014-01-18,1760.0
749,2014-01-19,880.0
750,2014-01-20,0.0
751,2014-01-21,0.0
752,2014-01-22,0.0
753,2014-01-23,345.0
754,2014-01-24,345.0
755,2014-01-25,0.0
756,2014-01-26,0.0
757,2014-01-27,0.0
758,2014-01-28,0.0
759,2014-01-29,0.0
760,2014-01-30,0.0
761,2014-01-31,0.0
762,2014-02-01,294.0
763,2014-02-02,1300.0
764,2014-02-03,1960.0
765,2014-02-04,1300.0
766,2014-02-05,3145.0
767,2014-02-06,1785.0
768,2014-02-07,1785.0
769,2014-02-08,3413.0
770,2014-02-09,1330.0
771,2014-02-10,1330.0
772,2014-02-11,1930.0
773,2014-02-12,1330.0
774,2014-02-13,1330.0
775,2014-02-14,4860.0
776,2014-02-15,2240.0
777,2014-02-16,1730.0
778,2014-02-17,910.0
779,2014-02-18,0.0
780,2014-02-19,0.0
781,2014-02-20,0.0
782,2014-02-21,0.0
783,2014-02-22,0.0
784,2014-02-23,0.0
785,2014-02-24,0.0
786,2014-02-25,0.0
