"Date"	"MaxTemperature	"MinTemperature	"Month"	"WeekDay"	"is_WeekDay"	"Holiday"	"Index"	"OddWeekday"	"OddHoliday"	"OddTemp"	"OddNeighbor"	"HD_predicted"	"nonWorkingDay"	"ToTag"
2013-06-13 00:00:00	18.98195	13.3556	6	3	1	Day	168	0	0	0	0	0	0	0
2013-06-14 00:00:00	20.8046	11.489350000000002	6	4	1	Day	169	0	0	0	0	0	0	0
2013-06-15 00:00:00	21.2566	13.51805	6	5	0	Day	170	0	0	0	0	0	0	0
2013-06-16 00:00:00	24.659650000000006	12.614350000000002	6	6	0	Day	171	0	0	0	0	0	0	0
2013-06-17 00:00:00	25.81785	16.452700000000004	6	0	1	Day	172	0	0	0	0	0	0	0
2013-06-18 00:00:00	25.239350000000005	17.1832	6	1	1	Day	173	0	0	0	0	0	0	0
2013-06-19 00:00:00	23.93915	17.6953	6	2	1	Day	174	0	0	0	0	0	0	0
2013-06-20 00:00:00	20.554	15.2787	6	3	1	Day	175	0	0	0	0	0	0	0
2013-06-21 00:00:00	19.660500000000006	13.92955	6	4	1	Day	176	0	0	0	0	0	0	0
2013-06-22 00:00:00	19.994950000000006	14.52155	6	5	0	Day	177	0	0	0	0	0	0	0
2013-06-23 00:00:00	18.37825	13.522175	6	6	0	Day	178	0	0	0	0	0	0	0
2013-06-24 00:00:00	17.493650000000002	11.96675	6	0	1	Day	179	0	0	0	0	0	0	0
2013-06-25 00:00:00	19.1013	10.215699999999998	6	1	1	Day	180	0	0	0	0	0	0	0
2013-06-26 00:00:00	20.4339	10.02765	6	2	1	Day	181	0	0	0	0	0	0	0
2013-06-27 00:00:00	20.04115	11.63385	6	3	1	Day	182	0	0	0	0	0	0	0
2013-06-28 00:00:00	18.48475	12.580750000000002	6	4	1	Day	183	0	0	0	0	0	0	0
2013-06-29 00:00:00	19.899700000000006	14.17025	6	5	0	Day	184	0	0	0	0	0	0	0
2013-06-30 00:00:00	23.3512	12.7436	6	6	0	Day	185	0	0	0	0	0	0	0
2013-07-01 00:00:00	23.77865	13.1407	7	0	1	Day	186	0	0	0	0	0	0	0
2013-07-02 00:00:00	24.4001	13.690449999999998	7	1	1	Day	187	0	0	0	0	0	0	0
2013-07-03 00:00:00	19.939400000000006	16.040450000000003	7	2	1	Day	188	0	0	0	0	0	0	0
2013-07-04 00:00:00	21.701200000000004	14.85995	7	3	1	Day	189	0	0	0	0	0	0	0
2013-07-05 00:00:00	25.16445	15.9136	7	4	1	Day	190	0	0	0	0	0	0	0
